name,date,time,weight,bellyscore,feeding
L-102,2004-12-18,18:43,72,F,
L-102,2004-12-23,18:50,64.5,N,
L-102,2004-12-29,18:20,62.5,N,
L-102,2005-06-26,18:51,66.7,F,
L-102,2005-07-24,18:52,64.5,N,
L-102,2005-08-03,18:57,66.8,N to F,
L-102,2005-08-12,7:53,62.7,N,
L-102,2006-02-05,9:07,77.7,B,
L-102,2006-02-14,18:43,70.2,N to F,
L-102,2006-03-07,19:10,69.3,N to F,
L-102,2006-03-08,19:00,70.2,N to F,
L-102,2006-03-26,18:56,74,F,
L-102,2006-04-16,9:47,80,B,F
L-102,2006-09-24,19:03,71.5,F,
L-102,2007-03-05,18:35,69.9,F,
L-102,2007-05-20,8:58,67.3,F,
L-102,2007-06-25,6:55,66.6,N to F,
L-102,2008-01-14,7:35,62.6,N,
L-102,2008-01-26,7:28,70.2,F,
L-102,2008-02-22,10:04,67.5,N,
L-102,2008-04-29,10:25,58.6,N,
L-102,2008-09-24,0:00,65.5,N,
L-102,2009-08-02,9:13,72.9,F,
L-102,2010-05-24,8:55,62.7,N,
L-105,1998-04-11,18:25,15.5,F,
L-105,1998-04-29,18:47,16.7,N to F,
L-105,1998-05-03,17:53,16.4,N,
L-105,1998-05-09,16:40,16.7,N,
L-105,1998-05-12,15:21,16.9,N,
L-105,1998-05-13,15:39,17.6,N,
L-105,1998-05-20,18:35,17.8,N,
L-105,1998-05-23,17:12,17.1,N,
L-105,1998-05-25,17:24,16.6,N,
L-105,1998-05-28,18:34,16.8,N,
L-105,1998-05-31,17:21,17,N,
L-105,1998-06-07,16:40,17.4,N,
L-105,1998-06-08,16:15,17.3,N,
L-105,1998-06-10,10:29,17.3,N,
L-105,1998-06-11,18:01,17.5,N,
L-105,1998-06-19,17:37,17,N,
L-105,1998-06-20,17:57,17.1,B,
L-105,1998-06-29,17:47,17.9,N,
L-105,1998-07-07,17:31,18.3,N,
L-105,1998-07-10,18:02,17.3,N,
L-105,1998-07-13,18:15,17.3,N,
L-105,1998-07-15,17:28,17.2,N,
L-105,1998-07-16,17:17,16.8,N,
L-105,1998-07-17,17:22,16.6,N,
L-105,1998-07-19,17:48,17,N,
L-105,1998-07-20,17:02,17.2,N,
L-105,1998-08-06,17:43,19.1,N,
L-105,1998-08-17,18:50,18.1,N,
L-105,1998-08-28,18:02,18.6,N to F,
L-105,1998-09-03,17:20,18.6,N,
L-105,1998-09-17,17:36,21,N,
L-105,1998-09-18,18:10,20.4,N,
L-105,1998-10-12,7:12,18.3,N to T,
L-105,1998-10-20,8:58,21.2,N to F,
L-105,1998-10-23,17:47,19.1,N,
L-105,1998-11-12,18:27,18.5,N to T,
L-105,1999-04-03,9:49,25.9,N,
L-105,1999-04-04,17:29,25.5,N,
L-105,1999-04-16,18:20,31.4,F,
L-105,1999-04-20,17:48,29.25,N,
