injuryID,date,time,ID,description,cause,bodypart,sizeincm,consequences,comments,observer
in0832,2018-12-12,9:20,L-498,"quite fresh open wound, surface skin gone",?,right HL,2x2,,,OH
in0833,2018-12-12,9:20,S-146,right eye milky,?,right eye,,probably does not see anymore with right eye,,OH
in0835,2018-12-17,8:39,L-395,limping quite badly with rhl,?,RHL,,limping,,OH
in0836,2018-12-18,14:15,A-504,limping with lhl,HY?,LHL,,limping,not playing with other cubs,AD
in0837,2018-12-28,14:35,F-231,large wound on RHL,Lions?,RHL ,15x10,"bleeding, but already seems partially healed. not limping",,AD
in0838,2018-12-28,14:35,T-116,bloody right buttocks,HY?,Right buttock,4x4,"nothing, moving fine",,AD
in0839,2019-01-09,8:28,A-464,swollen front right ankle,?,"RFL, ankle",,"limping, ankle / area above right foot is quite swollen, possibly sprained",seems healthy otherwise,AD
in0840,2019-01-09,7:15,F-231,fresh wound on RHL,?,RHL hip,,nothing ,,PN
in0841,2019-01-10,7:27,F-229,limping with RHL,?,RHL,,limping,,PN
in0842,2019-01-11,6:49,A-359,limping with LFL,?,LFL ,,limping pretty badly,,AD
in0843,2019-01-11,7:46,A-458,cut on side of muzzle,sharp bone? Lion claw?,muzzle,4 cm gash ,strange gash/puncture on R side of muzzle,does not appear to have any negative effect,AD
in0844,2019-02-03,9:41,S-254,limping with lhl,?,LHL,,"Limping, walking hardly ",,PN
in0845,2019-02-25,8:14,A-338,limping with RHL ,? ,RHL,,limping badly ,,AD
,2019-04-06,15:52,S-181,"swollen head, puncture holes, hairless patches below lower jaw","disease, Streptococcus","head, right side",,,,PN
in_20190410_0706_S-337,2019-04-10,7:06,S-337,"becomes very weak, attempt to su from S-259",,,,,,PN
,2019-04-14,7:05,S-347,"attempt to suckle from S-259 but chased, seems weak",disease,body,,seems weak,,PN
,2019-04-14,9:38,S-290,swelling on one side of head,"disease, Streptococcus",head,,lethargic,,PN
in0846,2019-04-22,15:55,S-308,limping with LFL,?,LFL,,limping not badly,,PN
in_20190425_1024_A-343,2019-04-25,10:24,A-343,swollen muzzle,"disease, Streptococcus",head,,,,PN
