injuryID,date,time,ID,description,cause,bodypart,sizeincm,consequences,comments,observer
in0517,2007-04-14,7:08,E-101,split penis,"copulation, parturition",penis,8x3cm,-,,
in0518,2007-04-20,6:55,E-133,warts,stress ?,face,lots of small warts,-,,
in0519,2007-04-20,6:55,E-139,warts,stress ?,face,lots of small warts,-,,
in0520,2007-04-20,8:05,E-123,fresh open wound,hy bite?,lhl,6x4,licking it occasionally,,
in0521,2007-04-24,7:20,L-205,wound,bi?,le si of ne,3x7,-,,
in0522,2007-04-24,8:17,L-261,puncture hole,bi,lfl,3x2,licks wound,,
in0523,2007-04-25,7:46,N-117,several puncture holes,bi,back,all 2x2cm,-,,
in0524,2007-04-27,6:46,L-222,puncture holes,,left side of hip,1x1,-,,
in0525,2007-04-27,7:46,M-242,2 punture hole,bi,thigh of lhl,"2x2, 1x1",-,,
in0526,2007-05-03,6:52,A-186,fresh cut below left ear,,below left ear towards throat,15x1,-,,
in0527,2007-05-04,7:10,L-171,several warts,stress ?,"right side of nose, le side of face","3x1 nose, 1x1 and 1x2 face",-,,
in0528,2007-05-08,6:28,M-194,"deep cut above foot pad, outer side of foot",,rhl,4x2,limping badly,,
in0529,2007-05-08,7:10,E-090,limping with rhl,,rhl,,limping quite badly,,
in0530,2007-05-11,7:10,M-264,breathing loudly,prob was hit by zebra as entire muzzle/upper jaw and nose seem squashed,,,breathing loudly,,
in0531,2007-05-19,9:02,L-221,quite fresh open wound,,rhl,2x3,-,,
in0532,2007-05-23,7:20,M-242,"fresh open wound, still bleeding",wi?,right shoulder,3x3,limping,,
in0533,2007-05-24,7:43,E-158,swollen submandibular lymph node,disease,,,behaving normally,070531 swelling not visible any more,
in0534,2007-06-05,7:42,E-136,slightly swollen penis,"copulation, parturition",penis,,-,,
in0535,2007-06-07,7:07,L-196,punction hole,bite,"ri hib, tail root",both 3x4cm,-,,
in0536,2007-06-07,9:17,A-106,geschwuer,?,above anus,1x1x1,-,,
in0537,2007-06-10,7:00,L-126,"open wound, fresh",,rhl,7x3,-,,
in0538,2007-06-10,7:43,M-100,cut on lower lip,,,,-,,
in0539,2007-06-14,8:42,A-210,cut on lower lip,,,,-,,
in0540,2007-06-15,7:45,L-180,very swollen penis,birth?,,,-,,
in0541,2007-06-25,10:53,L-160,swelling with hole in centre,"disease, Streptococcus",right mandibular area,"swelling 15x10cm, hole 1x1cm",-,collected faeces,
in0542,2007-07-05,7:21,A-159,swollen knee,,rhl,10x10cm,limping,,
in0543,2007-11-18,10:13,A-195,split penis,"copulation, parturition",penis,4x3 cm,,,
in0544,2007-11-19,8:39,L-261,split penis,"copulation, parturition",tip of penis,2x2 cm,,,
in0545,2007-11-22,10:25,A-222,"swollen right submandibular angle, abscess prob already burst, extended skin visible","disease, Streptococcus",,,,,
in0546,2007-11-26,10:28,M-225,"slightly swollen submandibular lymph nodes, both sides",,,,,,
in0547,2007-11-27,10:52,M-098,swollen knop,,ri side of belly,tennisball size,-,,
in0548,2007-12-01,8:05,E-130,split penis,"copulation, parturition",,5x2 cm,,,
in0549,2007-12-03,7:02,M-260,limping,,rfl,,limping,,
in0550,2007-12-10,6:47,N-129,swollen left submandibular angle,"disease, Streptococcus",left lower jaw,,,pictures taken,
in0551,2007-12-14,7:20,M-256,"fresh wound/2 quite deep cuts, plus wounds on neck plus bum next to base of tail root",,"right foot, next to foot pads","5x1 (foot), 4x4 (neck), 2x2 (tail root",limping,,
in0552,2007-12-14,7:36,M-239,fresh wound/quite deep cut,,left foot,3x1,limping badly,,
in0553,2007-12-19,6:40,M-152,"fresh bleeding wound on lower lip, puncture hole on left + right thigh, bleeding",hy,"lower lip, both sides thigh",,limping with lhl,,
in0554,2007-12-19,6:40,M-238,fresh puncture holes both sides thigh + fresh wound inside left thigh,hy,"both sides thigh, both ears on back puncture holes",inside thigh: 2x3,,,
in0555,2007-12-19,7:38,M-006,fresh wound on tarsus,hy,right tarsus,,limping with rhl,,
in0556,2007-12-19,8:33,A-146,limping with lfl,,lfl,,limping,,
in0557,2007-12-19,9:40,L-187,"7 leeches, 3 on lhl, 3 on lfl, 1 on rhl",,,,-,,
in0558,2007-12-24,7:22,M-181,limping with lhl,,lhl,,limping,,
in0559,2008-01-01,8:16,L-304,puncture hole,bi of l-206,back,2x2 cm,-,"l-206 tried to kill cub, l-187 rescued it",
in0560,2008-01-01,10:00,L-306,"puncture hole, bold patch",bite,"le cheek, between ears","1x1 cm, 2x2 cm",-,,
in0561,2008-01-05,8:50,L-280,puncture hole,bite,above football lhl,2x3cm,-,,
in0562,2008-01-11,8:09,N-117,puncture hole,bite,"betwen hind legs, close to udder","2x2cm, 1x2 cm",-,,
in0563,2008-02-04,8:00,L-218,fresh puncture holes on both ears and rfl,lemala males,"both ears, rfl",1x1 several,-,l-218 badly bitten by males during baiting,
in0564,2008-02-06,9:00,A-164,fresh rub marks on both sides of udder,commuting,both sides of udder,8x3,-,,
in0565,2008-02-11,11:20,M-006,limping badly,,rhl,,limping badly,,
in0566,2008-02-12,7:47,F-097,rub mark + open wound,commuting + bite,ri si of udder + ri junction of leg,5x2 cm + 3x3 cm,-,,
in0567,2008-03-12,7:30,E-116,"limping with lhl, cut on right shoulder",,"lhl, right shoulder",shoulder: 4x2,limping quite badly,,
in0568,2008-03-12,9:14,L-275,"swelling on right side of head, wa around a lot towards resting place, ea vomit with bones, later cw on remains of bird, scratches on swelling regularly","disease, Streptococcus","right side, below cheek",see picture,,pictures taken,
in0569,2008-03-13,8:43,N-105,"wound on hip, swollen part on belly, close to tight udder",?,"hip, belly/udder","swelling about tennis ball size, wound 3x3",-,,
in0570,2008-03-15,10:06,M-239,swollen cheek,disease,right cheek,ping-pong ball size,-,prob not streptococcus as on cheek,
in0571,2008-03-19,11:02,M-204,"bite wounds on and around penis, almost healed, swelling and pale patch without skin on left underside of belly, relatively fresh wounds on back side of right ear, also seems to be limping with rhl",hy?,"penis, right ear, left underside of belly","wounds puncture hole size, swelling ping pong ball size",limping slightly with rhl,"l close to road culvert, goes into culvert again",
in0572,2008-03-20,10:40,A-139,"fresh open wound on lhl, piece of skin missing",,"lhl, thigh",2x4,,,
in0573,2008-03-26,7:20,M-097,"quite fresh wound on bum, skin bitten off",bi by adf?,left side bum,3x4,-,,
in0574,2008-03-26,7:30,A-122,"fresh cut below right eye, still bleeding, skin torn off",fighting at kill,below right eye,2x5,-,,
in0575,2008-04-06,7:04,E-090,puncture hole,hy bi,ri si bum,1x1cm,-,,
in0576,2008-04-06,7:24,M-239,swollen,disease,between le ear and mouth edge,3x3 cm,-,,
in0577,2008-04-10,9:44,M-242,wound,bi?,above ri si of hip and above lfl,"hip: 10 m, lfl 2x2cm",-,,
in0578,2008-04-10,10:10,M-100,missing canine,?,upper right canine,-,-,,
in0579,2008-04-11,7:15,M-098,"very swollen penis, slimy, bloody fluid dripping from penis",stillbirth?,penis,,wa slowly,,
in0580,2008-04-18,7:56,E-131,wound,?,lower ri eye lid,0.5x2cm,cleans/rub it with rfl,,
in0581,2008-04-27,7:37,N-133,puncture hole,bi,ri hip,2x3cm,limping with rhl,,
in0582,2008-04-27,7:42,E-046,puncture hole and limping with lfl,bi,ri hip and lfl,2x3cm,limping with lfl,,
in0583,2008-04-29,7:00,M-006,limping,,rhl,,limping quite badly with rhl,,
in0584,2008-05-07,6:30,M-147,limping quite badly with rhl,?,rhl,,limping quite badly,,
in0585,2008-05-15,12:16,E-090,"fresh open wound, piece of skin bitten off",bi,left si bum,7x6cm,-,,
in0586,2008-09-18,6:48,M-183,"3 puncture holes on front, below left eye",?,"front, below left eye",puncture holes,-,,
in0587,2008-09-18,6:48,L-131,"wound on hl, not very fresh",?,rhl,3x3,-,,
in0588,2008-09-19,7:55,M-250,split penis,"copulation, parturition",back side of penis,5cm,-,,
in0589,2008-09-20,7:59,M-225,"limping slightly with le fl, fresh wound on le shoulder, moving slowly, otherwise seems in good condition",?,left shoulder,1x1,,,
in0590,2008-10-01,8:50,M-275,coughing a lot,?,-,-,,,
in0591,2008-10-02,9:30,L-292,quite fresf wound on lhl,?,"lhl, backward",3x3,-,,
in0592,2008-10-12,7:05,L-246,fresh wouund,?,lf foot below thorn,1x1,limping,,
in0593,2008-10-20,7:51,L-127,hairless swelling,?,le si lower belly,10x20,liquid in swelling that moved when he is wa,,
in0594,2008-10-21,6:35,E-137,fresh open wound,?,"rfl, inside",10x5,-,,
in0595,2008-10-25,8:45,M-197,"lower lip cut, hanging down like with m-152 and m-158",cut from bone while ea at kill?,lower lip,,,,
in0596,2008-10-30,9:20,L-227,fresh open wound/cut on eye browe of left eye,hy?,just above left eye,1x5,-,,
in0597,2008-11-01,8:53,E-141,two fresh puncture holes in ear,prob l-123 and/or m-116 bit her in ear,,puncture holes,e-141 drags ear in dust,,
in0598,2008-11-03,10:20,M-262,"several quite fresh wounds on rhl, bum, and ears, rather thin",hy,"rhl, bum, around llft ear","puncture holes, 3x3 on bum","is not in very good condition, rather thin around hips",,
in0599,2008-11-05,7:26,E-127,"fresh open bleeding wound on LHL, limping badly",hy,LHL,,limping badly with lhl,"not seen well, went into river",
in0600,2008-11-05,8:06,L-191,"puncture hole in right ear, fresh, bleeding",hy,left ear,puncture hole,,,
in0601,2008-11-05,9:35,M-238,"open wound on left side of neck, fresh",?,left side of neck,4x5,,,
in0602,2008-11-10,9:20,L-225,"infected wound between fls, pus coming out of it",?,between fls,,,,
in0603,2008-11-12,6:39,M-091,"very deep, large, open, fresh wound on neck, large neck muscle sliced through deeply",li,upper part neck,30,,"only seen lying, is lifting head normally but seems to preferably lie on right side",
in0604,2008-11-25,8:47,S-105,fresh open wound,during hunt?,left shoulder,2x2,-,s-128 lk wound when they meet,
in0605,2008-11-29,8:20,N-109,fresh open wound,during hunt?,"on back, above hip",3x4,rolling several times back in grass/earth,,
in0606,2008-11-30,6:43,N-128,swelling,"disease, Streptococcus",base of le jaw,"diameter 10cm, height 3cm",- swelling gone by 081208,,
in0607,2009-03-31,6:45,E-150,limping with lfl,?,lfl,,limping,,
in0608,2009-04-05,6:24,M-234,warts,stress ?,several in front/face,,,,
in_20090525_0818_S-123,2009-05-25,8:18,S-123,"fresh wounds, deep pucture holes on hls, still bleeding",fight with hy?,"around both ears, on both hls",1x1,"lk wounds, mentally in rather bad condition, goes into long grass, on 090613 seen in s-terr in good shape",,
in0610,2009-05-25,9:19,L-153,"cut, dry, not very fresh",,le si of body side,8,,,
in0611,2009-05-26,9:35,A-192,"puncture wounds, not fresh",bites,"along le si of ne, bh ears","2 lines of 12 cm at ne with 0.5cm holes, 0.5 cm at ear",-,"wound at neck first looked like a snare wound or cut, but wound had several puncture holes in lines",
in0612,2009-05-28,9:58,L-126,wound,,le eye,,"eye swollen, nearly closed, some pus in eye",,
in0613,2009-05-29,10:15,M-206,puncture holes around ears,bi by munges,ears,,"r away, not seen what wounds were inflicted, but munges seen cw on his ears",,
in0614,2009-05-29,10:15,N-130,"swollen penis, fresh cuts and puncture holes, rhl one ball from foot gone",bites,genitals lh foot,"penis like 2 tennis balls, swollen tip and swollen start, open wound where foot ball was","limping, licking",,
in0615,2009-06-06,8:15,M-089,open wound,bites,rhl,7x5cm,"none, but limping with lhl",,
in0616,2009-06-10,8:25,N-087,puncture holes,lion paw,ri hip,2x2cm each hole,limping,,
in0617,2009-06-12,9:50,L-153,open wound,?,le side of body,7x5cm,-,,
in0618,2009-06-18,7:10,S-124,"wound, skin missing",,back,4x4cm,-,,
in0619,2009-06-23,6:40,N-165,2 open wounds,bites,rhl,2x3cm 6cm apart from each other,-,,
in0620,2009-06-27,8:35,E-088,fresh open wound on inside of rhl + on tail root,hy?,"rhl inside ""knee"", tail root",4x2 (tail root),limping,,
in0621,2009-06-27,10:39,N-047,limping with lhl,?,lhl,-,,,
in0622,2009-07-01,11:00,A-140,limping with rfl,?,rfl,-,limping,,
in0623,2009-07-04,8:57,M-104,fresh wounds around left ear,hy,left ear,"puncture holes, smal scratches",,,
in0624,2009-07-09,7:40,N-105,"rub marks, fresh",commuting?,right udder,4x3,-,"first time that we see ngoitokitok adf with rub marks, n-105 is f to b",
in0625,2009-07-12,10:19,M-116,limping with rhl,?,rhl,-,limping but not very badly,,
in0626,2009-07-19,7:04,L-267,several open wounds,bites,"both hind legs, inner and outer side","1x1 cm, 1x3cm several bites",slightly limping,,
in0627,2009-07-19,7:40,L-261,limping with rhl,?,rhl,-,limping quite badly,,
in0628,2009-07-19,10:39,L-132,largely split and swollen penis,"bite, birth",penis,5x5 cm,-,,
in0629,2009-07-28,9:20,M-239,"limping with lfl, fl just hanging down, fl seems very badly injured, prob broken",?,lfl,,"limping very badly, does not put weight on it even when ch by shambas","in s-terr, close to eq carc with many shambas and several munge intruders",
in0630,2009-07-29,8:15,M-269,"rather fresh bite wound, rhl, rear side of thigh",hy?,rhl,2x 2x4,-,,
in0631,2009-08-01,7:10,M-298,"open wound on rhl, piece of skin missing",?,"rhl, upper side foot",3x3,-,,
in0632,2009-08-04,9:08,M-239,"fresh wound above et shoulder, prob deep puncture hole",li?,above left shoulder,,,"l next to road, not moving, seems ery tyred, couldhave been a kill of early morning/night with pro many shambas and lions, lions about 300m away",
in0633,2009-08-05,6:51,L-285,"right ear half bitten off, fresh",hy,right ear,,seems quite depressed,,
in0634,2009-08-06,7:07,E-152,"cut above left eye, a few days old",,left eye,4x1,-,,
in0635,2009-08-08,6:41,A-093,swollen right submandibular lymph ode,disease,right side head,,,nothing obvious any more on 090816,
in0636,2009-08-08,6:52,M-243,"swollen left side of head, not very large but visible","disease, Streptococcus","left side, submandibular lymph node and muzzle",,,nothing obvious any more on 090816,
in0637,2009-08-08,8:16,L-303,"limping badly with lhl, swollen foot",,lhl,,,,
in0638,2009-08-09,6:49,M-264,"open wound lhl, limping rhl",bites,"lhl, rhl","lhl 6x5cm, rhl nothing visible",limping with rhl,,
in0639,2009-08-16,7:22,E-090,"foot slightly swollen, bitten badly, fresh wound above toe, toes seem dislocated",HY,foot rhl,,limping quite badly,,
in0640,2009-08-18,7:25,M-122,many several small fresh wounds in face,fight with other clan members? or simply from kill?,"in face, front",1x1,-,,
in0641,2009-08-18,7:25,M-242,many several small fresh wounds in face,fight with other clan members? or simply from kill?,"in face, front",1x1,-,,
in0642,2009-08-18,7:37,M-243,many several small fresh wounds in face,fight with other clan members? or simply from kill?,"in face, front",1x1,-,,
in0643,2009-08-19,7:50,L-273,quite fresh open wound on rhl/bum,hy?,"rhl, close to tail root and pseudoscrotum",2x4,-,,
in0644,2009-08-20,10:20,M-260,"fresh wounds on nose, right side neck, bum",hy,,,,,
in0645,2009-08-21,7:27,M-277,outer foot ball swollen,hy,foot rhl,,limping,,
in0646,2009-08-21,9:20,L-246,"cut, swollen with pus",?,"left eye, lower lid",2cm,swollen,,
in0647,2009-08-24,6:57,M-279,"several patches of skin missing, not very fresh, dry",hy,"front, both fls around ellbow, lhl",2x2 (front) and 3x3 (legs),-,prob from fights during coup,
in0648,2009-08-24,9:00,M-264,warts,stress ?,"around muzzle, right side",,,must have developed only recently,
in0649,2009-08-25,7:11,M-295,"deep cut, fresh on rhl, rhl swollen, broken?",hy,rhl,3x5,"limping badly, does not stand on foot, leg seems broken",,
in0650,2009-08-29,6:27,M-296,"wound above ankle of rhl, limping quite badly",hy,"rh, above ankle",,"limping quite badly, but can stand on leg",,
in0651,2009-12-31,16:30,M-296,"2 fresh open wounds, punture holes",bites,lfl,1x1cm each,-,,
in0652,2010-01-02,8:22,M-089,open wound,bite,rhl,7x7,-,,
in0653,2010-01-09,8:26,E-094,quite fresh open wounds,bite,"right side belly, left foot",2x2,limping with lhl,,
in0654,2010-01-09,8:26,A-093,quite fresh puncture holes,bite,"hip right side 5, left side 4 puncture holes",1x1,-,,
in0655,2010-01-09,8:26,N-047,quite fresh puncture holes,,left + right side bum 3 puncture holes each,1x1,-,,
in0656,2010-01-09,8:41,M-225,"left teat tip wounded, bitten off",,left teat,,does not want cub to su from teat,,
in0657,2010-01-09,8:42,M-122,both sides hl fresh puncture holes,males baiting her this morning,,1x1,,,
in0658,2010-01-09,8:42,M-207,"puncture hole, not very fresh",,"1 right of tail root, 2 kniekehle, 1 lhl",,,,
in0659,2010-01-09,8:42,M-300,quite fresh puncture hole,,1 on lfl,,,,
in0660,2010-01-23,6:30,E-182,dislodged left hl,,lhl,,"walking strangely, but is able to stand on leg",,
in0661,2010-01-24,7:08,F-007,"rub marks, quite fresh",commuting,right side udder,5x5,seems to be wa normally,,
in0662,2010-01-31,9:29,E-006,red mark on back side of left udder,,"left udder, back side",2x10,-,,
in0663,2010-02-03,8:08,E-192,"wp 3x when wa around, still thin and coughing",disease,,,,,
in0664,2010-02-06,10:00,L-259,bite wound several days old,hy,"inside rhl, next to scrotum",4x1,-,,
in0665,2010-02-08,7:05,E-192,"coughing a lot after E-006 gu and le. E-006 back with 3/4 of WI calf, E-191 + E-192 ea",disease,,,,,
in0666,2010-02-08,7:07,M-243,"several puncture holes, limping",baiting,"puncture holes lhl, rhl, left + right ear, limping with lfl",puncture hole size,limping with lfl,,
in0667,2010-02-08,7:35,E-188,many warts,stress,face,rather small,-,,
in0668,2010-02-08,9:03,L-290,open wound left side neck,hy?,left side neck,5x4,-,"Paulo (ranger) saw ""subadult"" hyena he thinks was an intruder as chased by others with severe, fresh injury on neck and side on 100128 at three bridges close to ngoitokitok swamp, could be l-290 who intruded?",
in0669,2010-02-09,7:40,L-331,open wound,bite?,r shoulder,5x4 cm,-,,
in0670,2010-02-14,8:54,L-171,open wound,?,rfl,7x2cm,-,,
in0671,2010-02-14,9:50,S-140,open wound,?,r shoulde,"8x7cm, robably deep, fur missing around wound","moves only slowly, rather thin",,
in0672,2010-02-15,7:30,E-192,"fevery, coughing, small open wounds/scratches around left eye, behind left ear",disease,,,,"seems in worse condition than a few days ago, fevery eyes, coughing, comes out of dh + wa only 2m, ld. Face licked by e-171; 08:02 e-192 gu and wa, wp 1a, 5s, all ad gu + lo to it, all le den area and wa to puddle 120m away. E-116 shortly tries to play with e-192, but e-192 rather lethargic; 08:34 e-192 gu, wa 150m to other puddle, e-116 gu and fo, 08:36 e-144 also gu and fo, all 3 wa to puddle. Later e-192 releases discharge from nose which I collect",
in0673,2010-02-16,6:55,E-192,"fevery, coughing, small open wounds/scratches around left eye, behind left ear, small wound on right side hip, belly seems full, but cub nevertheless seems weak and rather thin around hip",disease,,,"moves slowly, coughing, thin, seems weak, does not react quickly to stimuli, lethargic","seems in worse condition than a few days ago, fevery eyes, coughing, comes out of dh + wa only 2m, ld. face licked by e-171, later lk intensively by e-116",
in0674,2010-02-20,9:10,A-195,limping,?,rfl,,"limping, can stand on foot",,
in0675,2010-02-20,10:25,E-192,"swollen foot, still fevery, coughing, lethargic, fluid released from wound around eyes and behind left ear",disease,rfl,,"limping, can stand on foot","vanished into dh at 10:31, only came out for short period and wa only 2m",
in0676,2010-02-21,10:22,E-192,"swollen foot, less fevery and lethargic than the day before, wounds around eyes and behind left ear seem dry, su and wa around, also wp",disease,rfl,,,"looks better today, full stomach, su, wounds around eye + behind ear less sobering, eyes more open, ears in normal position, not coughing, 10:35 wp 4s, 1t and E-006 + E-116 immediately gu and wa to E-192",
in0677,2010-03-06,8:30,S-138,split penis,copulation? sadf,penis,8cm,split also on le side of penis,,
in0678,2010-03-13,9:35,E-088,"open wounds around right teat + left hind foot, puncture holes on left shoulder",hy,"around left teat, left hind foot, left shoulder",,,,
in0679,2010-03-19,8:41,L-299,wounds,bites,both ears,many puncture holes,-,,
in0680,2010-04-03,7:04,L-368,rhl cut/foot missing,hy?,rhl,,limping,,
in0681,2010-04-03,8:10,L-206,right teat of l-206 bleeding slightly,cubs fighting for teat,right teat,,l-206 lets cubs only su on left teat,,
in0682,2010-04-06,6:40,M-291,warts on muzzle + at base of ear,stress,"muzzle, base of ear",,,,
in0683,2010-04-07,,L-364 or 365,right eye swollen + discharge,,rith eye,,,,
in0684,2010-04-13,7:45,A-267,"right eye slightly swollen, discharge",,rith eye,,"keeps eye mostly closed, but can open it if needed",,
in0685,2010-05-01,9:15,F-107,"rub marks, not very large and not very red but fresh",communting,right side udder,3x3,-,,
in0686,2010-05-09,8:06,M-291,warts,stress,"around both eyes, muzzle and base of boh ears",5x5mm each,-,,
in0687,2010-05-11,7:11,M-242,"fresh open wound next to tail root, piece of skin bitten out",males?,"bum, next to tail root",3x3,-,,
in0688,2010-05-20,8:00,L-133,"part of foot pad on lhl bitten off, fresh, still open",hy,"foot, lhl",2x2,-,,
in0689,2010-10-10,7:10,L-320,swollen lymph nodes,,both ends of lower jaw,5x5cm,-,not typical for strepto since swellings on both sides,
