denname,latitude,longitude,altitude,habitat,soil,clan1,clan2,clan3,type1,type2,observer
Savannah 2,-3.21528,35.57159,,GRS,,S,,,comm,,PN
Sindbad,-3.21602,35.56826,,GRS,earth,S,,,S-019 + cubs,comm,
Serengeti,-3.21707,35.56876,,GRS,earth,S,,,birth S-082,,
Single,-3.21728,35.56877,,GRS,earth,S,,,birth S-008,,
Shamba,-3.21833,35.56833,,ERO,ss,S,,,comm,,
Sallah,-3.21870,35.55785,,,,S,,,comm,,
Tripoli,-3.21885,35.53976,,,,T,,,comm,,
Savannah,-3.22064,35.57013,,GRS,earth,S,,,comm,,PN
Trupa,-3.22126,35.54278,,,,T,,,,,
Kimba,-3.22167,35.48050,,FOR,earth,K,,,comm,,
Tembo,-3.23517,35.51850,,GRL,earth,T,,,comm,,
Trudi,-3.23650,35.53217,,HER,earth,T,,,comm,,
Tango,-3.23720,35.52650,,GRM,earth,T,,,comm,,
Nilotic,-3.23824,35.58934,,GRL,,N,,,comm,,PN
Tupu,-3.23867,35.53333,,GRM,earth,T,,,comm,,
Takataka,-3.23883,35.53917,,GRL,earth,T,,,comm,,
Trauma,-3.23933,35.53217,,HER,earth,T,,,comm,,
Novelty,-3.24209,35.58746,,GRS,earth,N,,,comm,,
Triangle,-3.24583,35.56567,,GRM,earth,T,,,comm,,
