date,time,latitude,longitude,location,species,sequence,name,name2,focal_voc,other_sound,sequence_total,sequence_missed_start,sequence_missed_end,sequence_recorded,audioID,original_file,count_original_file,quality,context_behaviour,context_ecology,reply,comments,observer
1997-04-17,17:53,-3.18567,35.58500,lili,HYC,1,L-095,,WP,,8a,,,,,NA,,,"l-088 goes to dh, looks into it",,n,,
1997-04-17,18:06,-3.18567,35.58500,lili,HYC,1,L-095,,WP,,3a,,,,,NA,,,"l-009 + l-013 look into dh, then also l-088",,n,,
1997-04-17,18:18,-3.18567,35.58500,lili,HYC,1,L-095,,WP,,11a,,,,,NA,,,l-088 plays with l-094 next to dh,,n,,
1997-04-18,0:19,-3.18567,35.58500,lili,HYC,1,,,WP,,"1a, 8s, 3a, 1t",,,,,NA,,,"after being ch by L-002 and sf at place she was l, he wp while le den area",,n,,
1997-04-18,0:27,-3.18567,35.58500,lili,HYC,1,,,WP,,"1a, 8s, 2a",,,,,NA,,,,,n,,
1997-04-18,0:47,-3.18567,35.58500,lili,HYC,1,,L-094 or L-095,WP,,11a,,,,,NA,,,after L-014 ch away an adm,,n,,
1997-04-18,0:50,-3.18567,35.58500,lili,HYC,1,,L-094 or L-095,WP,,"1a, 3s, 1a, 1t",,,,,NA,,,,,n,,
1997-04-18,1:05,-3.18567,35.58500,lili,HYC,1,L-094,,WP,,"8a, 1t",,,,,NA,,,,,n,,
1997-04-18,7:40,-3.18567,35.58500,lili,HYC,1,,L-094 or L-095,WP,,10a,,,,,NA,,,"3min after L-008, L-042, L-086 + L-087 arrived",,n,,
1997-04-18,18:07,-3.18567,35.58500,lili,HYC,1,L-095,,WP,,9a,,,,,NA,,,"after l-086 plays with l-094 in den entrance, l-013 l in other dh 10m away",,n,,
1997-04-18,18:17,-3.18567,35.58500,lili,HYC,1,L-095,,WP,,11a,,,,,NA,,,"l-013 ap, looks into dh, l-086 also, l-086 goes into dh, l-013 wa 1m",,n,,
1997-04-18,18:33,-3.18567,35.58500,lili,HYC,1,L-095,,WP,,11a,,,,,NA,,,"l-013 l 1m from dh, nr",,n,,
1997-04-18,18:44,-3.18567,35.58500,lili,HYC,1,L-095,,WP,,"7a, 1s",,,,,NA,,,"l-013 l 1m from dh, nr",,n,,
1997-04-18,18:51,-3.18567,35.58500,lili,HYC,1,M-047,,WP,,"1a, 3s, 1t",,,,,NA,,,,,n,,
1997-04-18,19:09,-3.18567,35.58500,lili,HYC,1,L-094,,WP,,unknown,,,no,,NA,,,,,n,,
1997-04-18,21:16,-3.18567,35.58500,lili,HYC,1,L-095,,WP,,8a,,,,,NA,,,"l-013 gu, gn into dh, l in dh",,n,,
1997-04-19,1:57,-3.18567,35.58500,lili,HYC,1,,L-094 or L-095,WP,,5a,,,,,NA,,,,,n,,
1997-04-19,5:11,-3.18567,35.58500,lili,HYC,1,L-095,,WP,,8a,,,,,NA,,,,,n,,
1997-04-19,19:06,-3.18567,35.58500,lili,HYC,1,L-041,,WP,,10a,,,,,NA,,,while le den area,,n,,
1997-04-19,19:30,close to lili,,p,HYC,1,,,WP,,"6s, 4a",,,,,NA,,,,,n,"special sound, gurgling",
1997-04-19,22:45,-3.18567,35.58500,lili,HYC,1,,L-094 or L-095,WP,,7a,,,,,NA,,,,,n,,
1997-04-20,0:40,-3.18567,35.58500,lili,HYC,1,L-040,,WP,,"1a, 7s",,,,,NA,,,while le den area,,n,,
1997-04-20,0:50,-3.18567,35.58500,lili,HYC,1,,L-094 or L-095,WP,,12a,,,,,NA,,,,,n,"l-088 who l next to dh, gu and looks into dh",
1997-04-20,2:13,-3.18567,35.58500,lili,HYC,1,,,WP,,7a,,,,,NA,,,while le den area,,n,,
