year,month,day,Season,Block,WI,EQ,GG,TG,BU,KO,WB,WH,OS,ELA,ELE,RH,Hippo,KB,CC,HY,LI,cheetah,BJ,GJ,SSJ,FX,serval,leopard,baboon,vervet,hare,bushbuck,reedbuck,klipspringer,secretary bird,honey badger
1996,4,NA,wet,5,2207,453,128,201,1280,22,0,16,16,0,17,6,0,2,61,11,6,NA,4,9,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1996,4,NA,wet,6,7,4,244,36,1047,53,0,2,27,0,0,0,0,4,2,1,6,NA,2,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1996,9,NA,dry,1,3659,1488,315,434,752,48,9,17,9,6,3,7,40,0,0,9,14,NA,3,0,NA,6,NA,NA,NA,NA,NA,0,NA,NA,0,NA
1996,9,NA,dry,2,13,225,78,101,287,0,10,3,7,0,0,1,41,4,19,1,0,NA,0,0,NA,24,NA,NA,NA,NA,NA,0,NA,NA,0,NA
1996,9,NA,dry,3,0,3,106,238,174,14,0,0,6,0,0,0,0,9,3,2,0,NA,2,3,NA,4,NA,NA,NA,NA,NA,0,NA,NA,0,NA
1996,9,NA,dry,4,0,0,87,36,4,2,0,0,16,0,0,0,0,1,0,0,0,NA,3,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA
1996,9,NA,dry,5,0,123,858,319,162,1,0,17,15,0,0,0,0,13,5,0,3,NA,4,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,4,NA
1996,9,NA,dry,6,325,500,222,304,284,37,0,2,21,0,0,0,0,12,4,5,0,NA,2,4,NA,0,NA,NA,NA,NA,NA,12,NA,NA,2,NA
1997,4,NA,wet,1,123,456,492,1178,676,49,9,13,28,0,16,6,37,16,36,7,9,NA,1,6,NA,7,0,NA,27,NA,NA,0,NA,NA,4,NA
1997,4,NA,wet,2,0,10,72,29,443,11,5,1,4,0,6,1,46,3,21,0,0,NA,1,0,NA,0,1,NA,0,NA,NA,1,NA,NA,3,NA
1997,4,NA,wet,3,1322,146,227,177,1228,9,4,7,0,1,1,0,0,0,13,4,2,NA,8,0,NA,2,0,NA,0,NA,NA,0,NA,NA,0,NA
1997,4,NA,wet,4,4047,1148,94,26,933,12,0,1,0,28,37,0,0,0,4,5,3,NA,0,0,NA,0,0,NA,0,NA,NA,0,NA,NA,2,NA
1997,4,NA,wet,5,3610,923,414,416,248,35,0,9,17,15,1,0,0,12,112,6,0,NA,2,5,NA,4,0,NA,0,NA,NA,0,NA,NA,0,NA
1997,4,NA,wet,6,16,87,182,186,545,44,0,3,34,0,3,0,0,7,0,1,0,NA,2,3,NA,19,0,NA,0,NA,NA,0,NA,NA,0,NA
1997,9,NA,dry,1,300,2032,330,474,2239,15,2,18,5,0,3,3,34,0,80,42,10,NA,18,1,NA,9,0,NA,NA,NA,NA,0,1,NA,0,NA
1997,9,NA,dry,2,126,776,183,292,789,75,16,4,11,2,5,0,7,4,12,0,0,NA,1,6,NA,0,0,NA,NA,NA,NA,2,1,NA,25,NA
1997,9,NA,dry,3,0,49,284,411,6,9,0,0,15,0,0,0,0,0,5,0,8,NA,0,2,NA,0,0,NA,NA,NA,NA,0,0,NA,3,NA
1997,9,NA,dry,4,0,360,134,90,0,0,0,5,25,43,0,0,0,3,0,0,4,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,4,NA
1997,9,NA,dry,5,87,62,361,211,54,15,0,7,12,0,0,1,0,5,1,0,0,NA,10,7,NA,0,0,NA,NA,NA,NA,0,0,NA,5,NA
1997,9,NA,dry,6,5135,1157,225,114,68,68,0,4,15,39,0,0,0,16,34,0,0,NA,3,1,NA,0,1,NA,NA,NA,NA,0,0,NA,2,NA
1998,4,NA,wet,1,0,5,300,584,948,21,0,7,0,1,30,10,7,6,7,0,0,NA,7,0,NA,0,0,NA,NA,NA,NA,9,NA,NA,0,NA
1998,4,NA,wet,2,0,0,54,38,151,18,0,0,35,1,9,0,2,1,4,0,0,NA,2,0,NA,2,0,NA,NA,NA,NA,0,NA,NA,0,NA
1998,4,NA,wet,3,2321,761,168,449,579,0,0,0,3,52,0,1,0,0,0,3,0,NA,3,0,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA
1998,4,NA,wet,4,81,169,71,0,2,6,0,0,17,4,42,0,0,0,0,0,1,NA,0,0,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA
1998,4,NA,wet,5,2160,1115,133,303,68,0,0,9,3,0,1,0,0,0,43,8,2,NA,0,2,NA,3,0,NA,NA,NA,NA,0,NA,NA,0,NA
1998,4,NA,wet,6,0,0,509,73,630,65,0,0,16,0,0,0,0,6,0,1,2,NA,0,0,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA
1998,9,NA,dry,1,2491,2083,300,330,2366,38,6,11,9,7,6,7,48,0,0,15,11,NA,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,9,NA,dry,2,571,39,43,67,27,2,0,0,1,0,0,0,32,0,8,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,9,NA,dry,3,1398,138,676,0,39,14,8,0,177,0,0,7,0,2,14,0,1,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,9,NA,dry,4,449,313,14,181,118,0,26,0,16,32,0,0,2,0,0,0,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,9,NA,dry,5,2131,120,169,394,0,1,0,5,3,0,0,2,0,2,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,9,NA,dry,6,34,168,129,53,14,36,0,5,10,0,6,0,0,4,14,0,0,NA,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,4,NA,wet,1,1,53,406,783,719,28,4,25,28,0,18,7,56,10,0,6,2,NA,2,6,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA
1999,4,NA,wet,2,4,496,38,37,93,47,4,0,0,0,7,0,48,7,11,0,6,NA,0,0,NA,2,NA,NA,0,22,NA,NA,NA,NA,NA,NA
1999,4,NA,wet,3,2915,2756,200,252,1709,0,0,0,1,70,0,0,0,0,31,1,3,NA,0,6,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA
1999,4,NA,wet,4,2428,303,69,1,1807,20,0,0,20,0,0,0,0,0,5,1,0,NA,0,1,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA
1999,4,NA,wet,5,7491,1610,557,404,4310,37,0,19,41,1,0,0,51,0,77,2,0,NA,0,3,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA
1999,4,NA,wet,6,3,5,368,257,727,84,0,18,33,2,0,0,0,0,11,3,5,NA,3,0,NA,0,NA,NA,35,0,NA,NA,NA,NA,NA,NA
1999,9,NA,dry,1,14272,2529,464,827,969,12,26,26,20,8,10,7,60,11,47,21,8,0,6,23,NA,0,NA,NA,2,NA,NA,NA,0,NA,0,NA
1999,9,NA,dry,2,1411,1510,132,285,620,55,0,4,16,0,9,0,40,2,153,3,2,0,5,4,NA,0,NA,NA,0,NA,NA,NA,1,NA,0,NA
1999,9,NA,dry,3,0,4,372,584,408,1,0,0,13,0,0,0,9,2,0,0,0,1,1,2,NA,2,NA,NA,0,NA,NA,NA,0,NA,3,NA
1999,9,NA,dry,4,0,33,243,57,486,2,1,5,11,1,0,1,0,3,0,1,0,0,6,0,NA,2,NA,NA,0,NA,NA,NA,0,NA,5,NA
1999,9,NA,dry,5,101,317,253,176,16,10,0,6,9,0,0,1,0,12,0,17,12,0,21,16,NA,2,NA,NA,52,NA,NA,NA,0,NA,6,NA
1999,9,NA,dry,6,424,480,176,15,846,150,7,10,18,27,0,0,0,1,9,15,0,0,7,0,NA,0,NA,NA,0,NA,NA,NA,0,NA,0,NA
2000,4,NA,wet,1,44,982,290,875,1955,37,16,26,76,0,17,2,24,7,26,6,25,NA,2,1,NA,2,NA,NA,45,0,NA,NA,NA,NA,NA,NA
2000,4,NA,wet,2,0,73,90,46,1162,46,6,3,0,0,5,0,74,1,44,7,2,NA,0,0,NA,0,NA,NA,35,6,NA,NA,NA,NA,NA,NA
2000,4,NA,wet,3,5734,603,181,380,321,0,0,9,4,13,0,3,0,0,13,4,8,NA,4,2,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA
2000,4,NA,wet,4,2872,714,61,6,508,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA
2000,4,NA,wet,5,2115,1531,142,156,586,3,0,27,12,24,0,4,0,5,89,17,3,NA,2,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA
2000,4,NA,wet,6,71,624,371,213,476,94,0,14,24,23,0,0,0,0,11,7,0,NA,1,8,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA
2000,9,NA,dry,1,2683,1983,238,842,465,64,7,76,9,7,7,6,58,2,22,17,0,0,3,3,NA,0,0,NA,48,0,0,3,0,0,0,NA
