date,clan,name,higher,lower,description,reason,comments
2014-05-22,T,T-153,T-085,T-141,"T-085+T-153+T-141+T-129 drop to ranks 16-19, between T-154 and T-112",female coup,
2014-05-22,T,T-141,T-153,T-129,"T-085+T-153+T-141+T-129 drop to ranks 16-19, between T-154 and T-112",female coup,
2014-05-22,T,T-129,T-141,T-112,"T-085+T-153+T-141+T-129 drop to ranks 16-19, between T-154 and T-112",female coup,
2014-05-23,S,S-208,S-202,S-209,"S-208+S-209 drop to ranks 10+11, between S-202 and S-152 (S-165+S-212 dominate S-208+S-209)",female coup,
2014-05-23,S,S-209,S-208,S-152,"S-208+S-209 drop to ranks 10+11, between S-202 and S-152 (S-165+S-212 dominate S-208+S-209)",female coup,
2014-06-15,A,S-154,F-167,N-183,"S-154 joins hierarchy in rank 110, between F-167 and N-183",male coup,
2014-12-10,E,N-173,M-331,M-365,N-173 dominates M-365 who dominates L-377. N-173 prob dominant over both from when immigrated,male immigration+coup,
2015-09-12,A,A-403,A-402,A-381,"A-403 joins hierarchy in rank 21, between A-402 and A-381",adoption,
2015-09-29,A,A-405,A-404,A-232,"A-405 joins hierarchy in rank 87, between A-404 and A-232",adoption,
2015-10-11,A,A-407,A-406,A-304,"A-407 joins hierarchy in rank 70, between A-406 and A-304A-407 ",adoption,
2016-02-17,F,F-215,F-214,F-201,"F-215+F-201+F-202+F-186+F-173+F-221+F-222+F-210+F-174 drop in rank when F-136 dies, 2018-04-09 F-215 dominated by F-233 + F-258",female coup,
2016-02-17,F,F-201,F-215,F-202,"F-215+F-201+F-202+F-186+F-173+F-221+F-222+F-210+F-174 drop in rank when F-136 dies, 2018-04-09 F-215 dominated by F-233 + F-258",female coup,
2016-02-17,F,F-202,F-201,F-186,"F-215+F-201+F-202+F-186+F-173+F-221+F-222+F-210+F-174 drop in rank when F-136 dies, 2018-04-09 F-215 dominated by F-233 + F-258",female coup,
2016-02-17,F,F-186,F-202,F-173,"F-215+F-201+F-202+F-186+F-173+F-221+F-222+F-210+F-174 drop in rank when F-136 dies, 2018-04-09 F-215 dominated by F-233 + F-258",female coup,
2016-02-17,F,F-173,F-186,F-221,"F-215+F-201+F-202+F-186+F-173+F-221+F-222+F-210+F-174 drop in rank when F-136 dies, 2018-04-09 F-215 dominated by F-233 + F-258",female coup,
2016-02-17,F,F-221,F-173,F-222,"F-215+F-201+F-202+F-186+F-173+F-221+F-222+F-210+F-174 drop in rank when F-136 dies, 2018-04-09 F-215 dominated by F-233 + F-258",female coup,
2016-02-17,F,F-222,F-221,F-210,"F-215+F-201+F-202+F-186+F-173+F-221+F-222+F-210+F-174 drop in rank when F-136 dies, 2018-04-09 F-215 dominated by F-233 + F-258",female coup,
2016-02-17,F,F-210,F-222,F-174,"F-215+F-201+F-202+F-186+F-173+F-221+F-222+F-210+F-174 drop in rank when F-136 dies, 2018-04-09 F-215 dominated by F-233 + F-258",female coup,
2016-02-17,F,F-174,F-210,F-099,"F-215+F-201+F-202+F-186+F-173+F-221+F-222+F-210+F-174 drop in rank when F-136 dies, 2018-04-09 F-215 dominated by F-233 + F-258",female coup,
2016-12-05,L,L-474,L-463,L-475,L-474+L-475 drop in rank when L-205 dies,female coup,
2016-12-05,L,L-475,L-474,L-429,L-474+L-475 drop in rank when L-205 dies,female coup,
2016-12-09,S,S-193,S-279,S-250,S-165+S-166+S-152+S-153+S-208+S-209 matrilines dethrone S-193+S-194. S-152+S-153 matrilines overtake S-208+S-209 matrilines,female coup,"check interactions between S-166, S-222, S-201, S-271 and S-193, S-250, S-232, S-194, S-243 and S-244"
2016-12-09,S,S-250,S-193,S-232,S-165+S-166+S-152+S-153+S-208+S-209 matrilines dethrone S-193+S-194. S-152+S-153 matrilines overtake S-208+S-209 matrilines,female coup,"check interactions between S-166, S-222, S-201, S-271 and S-193, S-250, S-232, S-194, S-243 and S-244"
2016-12-09,S,S-232,S-250,S-194,S-165+S-166+S-152+S-153+S-208+S-209 matrilines dethrone S-193+S-194. S-152+S-153 matrilines overtake S-208+S-209 matrilines,female coup,"check interactions between S-166, S-222, S-201, S-271 and S-193, S-250, S-232, S-194, S-243 and S-244"
2016-12-09,S,S-194,S-232,S-243,S-165+S-166+S-152+S-153+S-208+S-209 matrilines dethrone S-193+S-194. S-152+S-153 matrilines overtake S-208+S-209 matrilines,female coup,"check interactions between S-166, S-222, S-201, S-271 and S-193, S-250, S-232, S-194, S-243 and S-244"
2016-12-09,S,S-243,S-194,S-244,S-165+S-166+S-152+S-153+S-208+S-209 matrilines dethrone S-193+S-194. S-152+S-153 matrilines overtake S-208+S-209 matrilines,female coup,"check interactions between S-166, S-222, S-201, S-271 and S-193, S-250, S-232, S-194, S-243 and S-244"
2016-12-09,S,S-244,S-243,S-138,S-165+S-166+S-152+S-153+S-208+S-209 matrilines dethrone S-193+S-194. S-152+S-153 matrilines overtake S-208+S-209 matrilines,female coup,"check interactions between S-166, S-222, S-201, S-271 and S-193, S-250, S-232, S-194, S-243 and S-244"
2016-12-09,S,S-208,S-225,S-276,S-165+S-166+S-152+S-153+S-208+S-209 matrilines dethrone S-193+S-194. S-152+S-153 matrilines overtake S-208+S-209 matrilines,female coup,"check interactions between S-166, S-222, S-201, S-271 and S-193, S-250, S-232, S-194, S-243 and S-244"
2016-12-09,S,S-276,S-208,S-209,S-165+S-166+S-152+S-153+S-208+S-209 matrilines dethrone S-193+S-194. S-152+S-153 matrilines overtake S-208+S-209 matrilines,female coup,"check interactions between S-166, S-222, S-201, S-271 and S-193, S-250, S-232, S-194, S-243 and S-244"
2016-12-09,S,S-209,S-276,S-279,S-165+S-166+S-152+S-153+S-208+S-209 matrilines dethrone S-193+S-194. S-152+S-153 matrilines overtake S-208+S-209 matrilines,female coup,"check interactions between S-166, S-222, S-201, S-271 and S-193, S-250, S-232, S-194, S-243 and S-244"
2016-12-09,S,S-279,S-209,S-193,S-165+S-166+S-152+S-153+S-208+S-209 matrilines dethrone S-193+S-194. S-152+S-153 matrilines overtake S-208+S-209 matrilines,female coup,"check interactions between S-166, S-222, S-201, S-271 and S-193, S-250, S-232, S-194, S-243 and S-244"
2017-10-29,L,L-442,L-494,L-443,L-442 dominated by L-312,female coup,check interactions between L-442 and others
2018-02-11,M,M-398,M-460,N-123,M-398 dominated by M-420,philo loses rank,check interactions between M-398 and any native Munge
2018-02-12,M,M-295,M-416,M-455,M-416 dominates M-295 + M-454,female coup,
2018-02-12,M,M-455,M-295,M-454,M-416 dominates M-295 + M-454,female coup,
2018-02-12,M,M-454,M-455,M-435,M-416 dominates M-295 + M-454,female coup,
2018-02-12,M,M-435,M-454,M-381,M-416 dominates M-295 + M-454,female coup,
2018-02-14,M,M-376,M-383,M-433,"M-427 dominates M-433, and on 180922 M-409+M-432 dominate M-376",female coup,"check interactions between M-376, M-433, M-434, and others"
2018-02-14,M,M-433,M-376,M-434,"M-427 dominates M-433, and on 180922 M-409+M-432 dominate M-376",female coup,"check interactions between M-376, M-433, M-434, and others"
2018-02-14,M,M-434,M-433,M-274,"M-427 dominates M-433, and on 180922 M-409+M-432 dominate M-376",female coup,"check interactions between M-376, M-433, M-434, and others"
2018-02-25,N,N-172,N-248,N-278,N-143 matriline overthrows N-172 + N-175 matrilines,female coup,check interactions between N-172 matriline and others
2018-02-25,N,N-278,N-172,N-252,N-143 matriline overthrows N-172 + N-175 matrilines,female coup,check interactions between N-172 matriline and others
2018-02-25,N,N-252,N-278,N-238,N-143 matriline overthrows N-172 + N-175 matrilines,female coup,check interactions between N-172 matriline and others
2018-02-25,N,N-238,N-252,N-234,N-143 matriline overthrows N-172 + N-175 matrilines,female coup,check interactions between N-172 matriline and others
2018-02-25,N,N-234,N-238,N-212,N-143 matriline overthrows N-172 + N-175 matrilines,female coup,check interactions between N-172 matriline and others
2018-02-25,N,N-212,N-234,N-279,N-143 matriline overthrows N-172 + N-175 matrilines,female coup,check interactions between N-172 matriline and others
